No,Titulo,Autor
126,¿Quiere usted saber frances en diez dias?,"Robertson, Métodos "
127,Doble imagen,"MacInnes, Helen "
128,Adios Janette,"Robbins, Harold "
129,Lawrence de Arabia,"Aldington, Richard "
130,la tarde,"Lacruz, Mario "
131,El rito,"García Blázquez, José Antonio"
132,Jaque a la dama,"Fernandez Santos, Jesus "
133,A ritmo de marcha fúnebre,"Barclay, Alexis "
134,El valle de las muñecas,"Susann, Jacqueline "
135,Los gozos y las sombras. III. La Pascua triste,"Torrente Ballester, Gonzalo "
136,¡Arriba Israel!,"Núñez Alonso, Alejandro"
137,Les chansons de Bilitis,"Louÿs, Pierre"
138,Grandes autores en libros pequeños,Varios
139,La nuit de l'apocalypse,"Easterman, Daniel "
140,Memoires mortes,"Cornwell, Patricia "
141,Ben-Hur,"Wallace, Lewis "
142,En el día de hoy,"Torbado, Jesus "
143,El Lago,"Doctorow, E. L. "
144,Mecanoscrit del segon origen,"Pedrolo, Manuel de "
145,Y Dios en la ultima playa,"Zaragoza, Cristóbal "
146,Memorias,"Mindszenty, Cardenal "
147,India mon amour,"Lapierre, Dominique "
148,Actividades para un joven biologo,"Schwartz, George I. ; Schwartz, Bernice S. "
149,El comando de los desertores,"Paris, Alain "
150,Tu colección de monedas,"Hobson, Burton"
151,La conspiración del golfo,"Schwartz, Fernando "
152,"Yo, el hermano","Guerra, Juan "
153,Una de tarzan,"Marqués, Vicent "
154,Baywatch,"Schwartz, Deborah "
155,Zona marítima,"Xirinachs, Olga "
156,Exploración del espacio (Volumen 1),"Jastrow, Robert"
157,Novelas ejemplares,"Cervantes Saavedra, Miguel de "
158,…que la punta dun paraigua,"Mínguez, Xavier "
159,La gran depresión de 1990,"Batra, Ravi "
160,Los hijos del sol,"Lavolle, L. N."
161,Volavérunt,"Larreta, Antonio "
162,Insomnie. Tome 1,"King, Stephen "
163,Insomnie. Tome 2,"King, Stephen "
164,"Cruz, Espada y Sangre","Mossé, Claude "
165,El libro del marisco,"Sueiro, Jorge-Víctor"
166,El miedo a la igualdad,"Miguel, Amando de "
167,Su luminoso esplendor,"Sherwood, Valerie "
168,Flores azules,"Queneau, Raymond "
169,"Han matado a un hombre, han roto un paisaje","Candel, Francisco "
170,Herejias economicas,"Robinson, Joan "
171,El pulso silencioso,"Leonard, George "
172,A cinco minutos del final,"Herrero Sales, Maximo"
173,En la vida de Ignacio Morel,"Sender, Ramón J."
174,La sonrisa etrusca,"Sampedro, José Luis "
175,Mis universidades,"Gorki, Maximo"
176,Las calles de nuestros padres,"González Ledesma, Francisco "
177,Educazione siberiana,"Lilin, Nicolai"
178,El mundo de Juan Lobon,"Berenguer, Luis "
179,No preguntes lo que tu país puede hacer por ti,"Kennedy, John F."
180,Les murs de sang,"Camut, Jèrôme; Hug, Nathalie"
181,La Route du sel et autres poèmes,"Bodart, Roger "
182,La otra,"Fielding, Joy "
183,Actividades para jovenes botanicos,"Prime, C. T."
184,Un tal rock wagram,"Saroyan, William"
185,Pasiones humanas,"Yerby, Frank "
186,Historia de la vida del Buscón llamado don Pablos,"Quevedo, Francisco de "
187,"Tan lejos, tan cerca","Marsillach, Adolfo "
188,Geografia universal,"Rebagliato Font, Juan"
189,Escenas montañesas,"Pereda, Jose María de"
190,"Yo, el rey","Vallejo-Nágera, Juan Antonio"
191,Guarnicion de silla,"Grosso, Alfonso"
192,El general de las galaxias,"Mazarin, Jean"
193,Gran Café,"Lorenzo, Pedro de"
194,Un verano en el viñedo,"Delinsky, Barbara"
195,Con ellos cabalgo la muerte,"Taut, Franz"
196,Le soleil des Scorta,"Gaudé, Laurent"
197,Les Ombres errantes,"Quignard, Pascal"
198,Rouge Brésil,"Rufin, Jean-Christophe"
199,The destroyers,"Reeman, Douglas"
200,Fenella Phizackerley,"Forster, Margaret"
201,Taras Bulba,"Gogol, Nicolas Vasilievich"
202,Flash,"Duchaussois, Charles"
203,Historias de un Ruiz-Señor,"Ruiz, Pedro"
204,Casino,"Kirsch, Robert"
205,No emprenyeu el comissari!,"Torrent, Ferran"
206,La isla de fuego,"Hirschfeld, Burt"
207,Vall de Uxó,"Peñarroja Torrejon, L."
208,España: siglo XIX (1834-1898),"Cronos, Grupo"
209,Liebe auf heissem Sand,"Konsalik, Heinz G."
210,Sangaree,"Slaughter, Frank G."
211,Los siete pecados capitales. Tomo II.,"Sue, Eugenio"
212,La zancada,"Soto, Vicente"
213,Retrato de una bruja,"Castresana, Luis de"
214,La ciudadela,"Cronin, A. J."
215,Pavillon de Femmes,"Buck, Pearl S."
216,Así vivían durante la Revolución Francesa,"Espinós, J.; Masiá, P.; Sánchez, D.; Vilar, M."
217,Retablo jovial,"Casona, Alejandro"
218,Alguien voló sobre el nido del cuco,"Kesey, Ken"
219,Du baroque,"Ors, Eugenio d'"
