No,Titulo,Autor
543,Papillon,"Charrière, Henri"
544,The Psychic Pathway,"Choquette, Sonia"
545,Doña Berta y otros relatos,"Clarin, Leopoldo Alas"
546,Soy la madre,"Conde, Carmen"
547,La rebel.lió dels conills mágics,"Dorfman, Ariel"
548,Lost in New York,"Escott, John"
549,Cuando duerma la bestia,"Marqués Estiguín, J. L."
550,Los perros de la guerra,"Forsyth, Frederick"
551,El Comunismo contado con sencillez,"Frutos, Francisco"
552,El milagro solar de Fátima,"Haffert, John"
553,Flores para algernon,"Keyes, Daniel"
554,Benicalaf,"Llueca Ubeda, Emilio"
555,La pasión del doctor Christian,"McCullough, Colleen"
556,No digas que fue un sueño,"Moix, Terenci"
557,Lucky Luke - Clasicos del comic,Morris; Goscinny
558,Una derrota bastante honrosa,"Murdoch, Iris"
559,Sangre de amor correspondido,"Puig, Manuel"
560,El cercle màgic. Volum I,"Puig i Ferreter, Joan"
561,Si vas para Chile,"Sáenz, Miguel"
562,La locura de Finn,"Southall, Ivan"
563,Rascacielos,"Stern, Richard Martin"
564,"Un vago, dos vagos, tres vagos","Wyoming, El Gran"
565,Historia de la gente,"Mingote, Antonio"
566,Manual de alteraciones esqueléticas en pequeños animales,Varios
567,Arturo y Clementina,"Turin, Adela; Bosnia, Nella"
568,Arte del mundo moderno. Del neoclásico al pop art,"Munari, Carlo"
569,El libro de Saladino II,"Alí, Tariq"
570,"Octubre, octubre. Volumen II","Sampedro, José Luis"
571,Divina Comedia II,"Alighieri, Dante"
572,Don Quijote de la Mancha. Parte I,"Cervantes Saavedra, Miguel de"
573,National Gallery,Varios
574,Baby signos,"Carter, Claudia"
575,Leyendas amazónicas,"Jordana Laguna, Jose Luis"
576,1706. La guerra de successió a Vila-Real,"Pitarch Font, Antoni"
577,Tragasueños,"Ende, Michel; Fuchshuber, Annegert"
578,Petite soeur,"Macdonald, Patricia"
579,La momie du Louvre,"Boutégège, Règine; Longo, Susanna"
580,Mikado Initiation. Livre de l'élève,"Palomino, Marie"
581,Mikado Initiation. Cuaderno de actividades,"Palomino, Marie"
582,Mikado Élémentaire. Livre de l'élève,"Palomino, Marie"
583,Mikado Élémentaire. Cuaderno de actividades,"Palomino, Marie"
584,Galipette Initiation: Livre de l'élève,"Palomino, Marie"
585,Galipette Initiation. Cahier d'activités. Consignes en français,"Palomino, Marie"
586,Galipette Initiation. Matériel du professeur,"Palomino, Marie"
587,Galipette Élémentaire. Cuaderno de actividades. Consignas en español,"Palomino, Marie"
588,Enciclopedia Salvat de la fauna no. 17: Eurasia/Norteamérica,"Rodríguez de la Fuente, Félix"
589,Accés Studio. Pupil book,"Wardle, Michael"
590,La Atlántida,"Ashe, Geoffrey"
591,Ferran Adrià,"Adrià, Ferran"
592,En forma con frutas y verduras,Varios
593,Filatelia. Coleccionismo-Hobby-Inversión,"Martínez-Fornaguera, Alejandro"
594,"Sendas del te. Leyenda, historia, cultivo y consumo","Serrat Crespo, Manuel"
595,Revista Mundial 1983,Varios
596,Enid Blyton's Nature Lover's Book,"Blyton, Enid"
597,Las aves y sus secretos. Un gran libro de preguntas y respuestas,"Grange, Francois de la; Reille, Antoine"
598,Girl Power! (¡El poder de las chicas!),Spice Girls
599,Son of Stone,"Woods, Stuart"
600,The New Cambridge English Course. Practice 4,"O'Sullivan, Desmond; Swan, Michael; Walter, Catherine"
601,Historias del viejo mundo no. 3. El hombre paleolítico,"Moure Romanillo, Alfonso"
602,Les 1000 immanquables du 20e siècle,Varios
603,Letras de España 1986,Varios
604,What is Migration?,"Crossingham, John; Kalman, Bobbie"
605,Asesinato de calidad. Club del misterio no. 18,"Carre, John le"
606,Consejos y platos para cuidar el corazón,"Fuster, Valentín"
607,Tony Stone Images 1998: Wild,Varios
608,Zona abierta no. 9/10,Varios
609,Zona abierta no. 12,Varios
610,Alfabet,"Boix, M.; Palàcios, J."
611,Guías de psicologia del bebe y del niño,
612,Museo Picasso Barcelona,"Subirana, Rosa María"
613,Sauver les océans,"MacInnis, Joseph"
614,Lola Montes,"Ada, Antoine de"
615,Cancionero y romancero español,"Alonso, Damaso"
616,Las mil y una noches,Anónimo
617,Relatos de robots,"Asimov, Isaac"
618,Leyendas de Guatemala,"Asturias, Miguel Angel"
619,Herzog,"Bellow, Saul"
620,Los intereses creados,"Benavente, Jacinto"
621,La vuelta al mundo de un novelista. Tomo III,"Blasco Ibáñez, Vicente"
622,La araña negra. Vol. I y II,"Blasco Ibáñez, Vicente"
623,Narraciones,"Borges, Jorge Luis"
624,Mala gente,"Bruno, Anthony"
625,Mrs. Caldwell habla con su hijo,"Cela, Camilo José"
626,Narraciones,"Chejov, Anton P."
627,Los oficios,Ciceron
628,Doña Berta y otros relatos,"Clarin, Leopoldo Alas"
629,Un grito en la noche,"Clark, Mary Higgins"
630,El Vals Inacabado,"Clément, Catherine"
631,Maridos de Hollywood,"Collins, Jackie"
632,Hora punta,"Collins, Joan"
633,Rayuela,"Cortázar, Julio"
634,La isla a mediodía y otros relatos,"Cortázar, Julio"
635,La Bella Otero,"Costa Clavell, Javier"
636,Las crónicas del Sochantre,"Cunqueiro, Alvaro"
637,La hoja roja,"Delibes, Miguel"
638,La hoja roja,"Delibes, Miguel"
639,Son mis amores reales,"Dicenta (hijo), Joaquin"
640,El jugador,"Dostoievski, Fedor"
641,El jugador,"Dostoievski, Fedor"
642,Justine - El Cuarteto de Alejandria I,"Durrell, Lawrence"
643,El séptimo santuario,"Easterman, Daniel"
644,Mano a mano con papá,"Faucher, Elizabeth"
645,Los invictos,"Faulkner, William"
646,Industrias y andanzas de Alfanhui,"Sánchez Ferlosio, Rafael"
647,Industrias y andanzas de Alfanhui,"Sánchez Ferlosio, Rafael"
648,La dama del armiño,"Fernández Ardavín, Luis"
649,Teatro completo,"Fernández de Moratín, Leandro"
650,La muerte de Artemio Cruz,"Fuentes, Carlos"
651,Versos de mi ciudad,"Gagliardi, Hector"
652,"Manual de diagnóstico de laboratorio en pequeños animales, 2ª edición","Villiers, Elizabeth; Blackwood, Laura (Eds.)"
653,Acapulco,"Garibay, Ricardo"
654,La chica del tambor,"Carre, John le"
655,Werther,"Goethe, J. W."
656,Ultima llamada,"Gonzalez de la Garza, Mauricio"
657,El Jardín de las Mentiras,"Goudge, Eileen"
658,El fin de la aventura,"Greene, Graham"
659,El que pierde gana,"Greene, Graham"
660,El reves de la trama,"Greene, Graham"
661,La coartada perfecta,"Highsmith, Patricia"
662,Prohibido a los nerviosos,Varios
663,La luna del Cazador,"Holt, Victoria"
664,La Ilíada,Homero
665,La hora mágica,"Isaacs, Susan"
666,Ulises I,"Joyce, James"
667,La metamorfosis,"Kafka, Frank"
668,Misery,"King, Stephen"
669,Los hermanos de Mowgli,"Kipling, Rudyard"
670,Susrros,"Koontz, Dean R."
671,Un Casamiento Convencional,"Lessing, Doris"
672,Un Casamiento Convencional,"Lessing, Doris"
673,los Hijos de Sánchez,"Lewis, Oscar"
674,La progresión de Aquitania I y II,"Ludlum, Robert"
675,Antología,"Machado, Antonio"
676,Mesalina,"Maclean, Helen H."
677,El conde lucanor,"Juan Manuel, Infante Don"
678,Una chica traviesa,"Marshall, Bruce"
679,El médico aconseja,"Mascaro Porcar, Jose Mª"
680,Benito Cereno,"Melville, Herman"
681,El ricachon en la corte y el enfermo de aprensión,Molière
682,Nueva grandeza mexicana,"Novo, Salvador"
683,Cien obras maestras de la pintura,"Olivar, Marcial"
684,El espectador,"Ortega y Gasset, Jose"
685,Virgen,"Patterson, James"
686,El diablo sobre las colinas,"Pavese, Cesare"
687,Humanidad prehistórica,"Pericot, Luis; Maluquer de Motes, Juan"
688,Los buscadores de conchas,"Pilcher, Rosamunde"
689,La chica del tiempo,"Piquer, Eva"
690,Un viaje frustrado. Contrabando,"Pla, José"
691,Narraciones extraordinarias,"Poe, Edgar Alan"
692,Fuente Ovejuna,"Vega, Lope de"
693,El Caballero de Olmedo,"Vega, Lope de"
694,Eloisa esta debajo de un almendro,"Jardiel Poncela, Enrique"
695,Poemas satíricos,"Quevedo, Francisco de"
696,El dios mas pequeño y otros relatos,"Rey, Lester del"
697,La revolución mexicana,"Ricciu, Francesco"
698,Los cazadore de focas de la bahia de Baffin,"Salgari, Emilio"
699,La Casa de las Chivas,"Salom, Jaime"
700,Érase una vez Don Quijote,"Sánchez Aguilar, Agustín"
701,El corredor de las tormentas,"Sarabande, William"
702,El bandido adolescente,"Sender, Ramon J."
703,La gran pesquisa,"Sharpe, Tom"
704,El Don apacible,"Shókolov, Mijaíl"
705,Mística y misterio de los OVNIS,"Silva, José Antonio"
706,"Ayax, Antigona. Edipo Rey",Sófocles
707,El perfume,"Süskind, Patrick"
708,Fantasmas,"Straub, Peter"
709,La cabeza perdida de Damasceno Monteiro,"Tabucchi, Antonio"
710,El visitante y otras historias,"Thomas, Dylan"
711,El vergonzoso en palacio. El burlador de Sevilla,"Molina, Tirso de"
712,"Guerra y paz, 2","Tolstoi, Leon"
713,Y Tierno galván ascendió a los cielos,"Umbral, Francisco"
714,Las palabras de la tribu,"Umbral, Francisco"
715,La tía Tula,"Unamuno, Miguel de"
716,Amor y pedagogía,"Unamuno, Miguel de"
717,Paz en la guerra,"Unamuno, Miguel de"
718,Tres novelas ejemplares y un prólogo,"Unamuno, Miguel de"
719,Juanita la larga,"Varela, Juan"
720,Luces de bohemia,"Valle-Inclan, Ramón del"
721,Tirano banderas,"Valle-Inclan, Ramón del"
722,Sonata de primavera,"Valle-Inclan, Ramón del"
723,La casa verde,"Vargas Llosa, Mario"
724,Los cachorros. El desafío del domingo,"Vargas Llosa, Mario"
725,Grandes autores en libros pequeños,Varios
726,Traducción del nuevo mundo de las santas escrituras,Varios
727,El grupo poético de 1927. Antología por Angel González,"González, Angel"
728,Antología general de la poesía mexicana (siglos XVI al XX),Varios
729,El escriba sentado,"Vázquez Montalbán, Manuel"
730,Los hijos del capitán Grant en Australia,"Verne, Julio"
731,20.000 leguas de viaje submarino,"Verne, Julio"
732,Viaje al centro de la Tierra,"Verne, Julio"
733,Pájaro de celda,"Vonnegut, Kurt"
734,Presunto heredero,"Wade, Henry"
735,Ben-Hur,"Wallace, Lewis"
736,Las dos ancianas,"Wallis, Velma"
737,La máquina del tiempo,"Wells, H. G."
738,Fan Club,"Wallace, Irving"
739,Relatos,Stendhal
740,Las aventuras de Tom Sawyer,"Twain, Mark"
741,Calidoscopio,"Steel, Danielle"
742,Incordie a Jack Barron,"Spinrad, Norman"
743,off-side,"Torrente Ballester, Gonzalo"
744,Llamada mortal II,"Stine, R. L."
745,Bajo el agua,"Winthrop, Joan"
746,El pianista del gueto de Varsovia,"Szpilmnan, Wladyslaw"
747,Un yanqui en la corte del Rey Arturo,"Twain, Mark"
748,Teresa Raquin,"Zola, Émile"
749,La conjura de los necios,"Toole, John Kennedy"
750,La mafia,"Sondern, Frederick"
751,Autobiografía,"Twain, Mark"
752,"Tres novelas del Siglo de Oro: Lazarillo de Tormes, La vida del Buscón y El Diablo Cojuelo","Varios: Anónimo, Francisco de Quevedo, Vélez de Guevara"
753,Puerto Vallarta,"Waller, Robert J."
754,Los manuscritos de Magdala,"Wood, Barbara"
755,Germinal,"Zola, Émile"
756,El rito,"García Blázquez, José Antonio"
757,El ingenioso hidalgo Don Quijote de la Mancha,"Cervantes Saavedra, Miguel de"
758,Novelas ejemplares,"Cervantes Saavedra, Miguel de"
759,Así vivían en Babilonia,"Lara Peinado, Federico"
760,El ídolo de silicio,"Shallis, Michael"
761,El panorama inesperado,"Trefil, James S."
762,Las raíces de la vida,"Hoagland, M."
763,El telar mágico,"Jastrow, Robert"
764,El aire en peligro,"Breuer, Georg"
765,Tecnologías alternativas,"Dickson, David"
766,El medio ambiente,"George, Pierre"
767,La polución atmosférica,"Chovin, Paul; Roussel, André"
768,La mente humana,"Rayner, C."
769,"El cuerpo humano, Vol. I y II","Leakey, Richard E./Rayner, C."
770,"La formación de la humanidad, Vol. I y II","Rayner, C."
771,"Exploración del espacio, Vol. I, II, III y IV","Gatland, Kenneth y otros"
772,"El libro del clima, Vol. I, II y III","Hardy, R.; Wright, P.; Gribbin, J.; Kington, J."
773,"El hombre al desnudo, Vol. I, II, III y IV","Morris, Desmond"
774,"Libro básico del ordenador personal, Vol. I, II y III","Rodwell, Peter"
775,"El hombre futuro. ¿Un mundo feliz o una pesadilla genética?, Vol. I y II.","Stableford, Brian"
776,"La ciencia en la ciencia ficción, Vol. I y II.","Langford, David; Stableford, Brian"
777,60 respuestas a las 60 eternas preguntas del escritor novel,"Rivadeneyra, Ariel"
778,"Robinson Crusoe, Volumen I","Defoe, Daniel"
779,El cartero del rey. El asceta. El rey y la reina,"Tagore, Rabindranaz"
780,Flair Collection: Cover Girls. Model Flirt. Fashion Victim,"William, Kate; Pascal, Francine"
781,Las aventuras de Tom Sawyer y otras obras,"Twain, Mark"
782,Mi vida,"Duncan, Isadora"
783,Pau Casals,"Baldock, Robert"
784,Cleopatra,"Bradford, Ernle"
785,Marx,"Blumenberg, Werner"
786,Gaudí,"Bassegoda Nonell, Juan"
787,Beethoven,"Scott, Marion M."
788,Colón,"Voltes, Pedro"
789,Maquiavelo,"Barincou, Edmond"
790,Maquiavelo,"Barincou, Edmond"
791,Pánico en la nieve,"Stine, R. L."
792,Prisionero del Río Negro,"Surget, Alain"
793,Expecting the Impossible,"Leonard, Christine"
794,Las mujeres sabias. El avaro. El burgues gentilhombre. El enfermo de aprension. Las preciosas ridiculas. Tartufo. El medico a palos.,Moliere
795,Dallas,"Raintree, Lee"
796,Las ciudades del antiguo México,"Sabloff, Jeremy A."
797,"El hombre, animal cibernético","Sapárina, Yelena"
798,El ingenioso hidalgo Don Quijote de la Mancha,"Cervantes Saavedra, Miguel de"
799,Sus mejores versos. Miguel de Cervantes Saavedra,"Cervantes Saavedra, Miguel de"
800,My Life on a Plate,"Knight, India"
801,Los vinos de España,"Torres, Miguel A. "
802,Peonza. Álbum II. # 120,Varios
803,Peonza. El Arte y el Álbum Ilustrado. # 75/76,Varios
804,"Gran crónica de la segunda guerra mundial, Tomos I, II y III",Varios
805,Holiday with the Fiend,"Lavelle, Sheila"
806,Across the barricades,"Lingard, Joan"
807,Your code name is Jonah,"Packard, Edward"
808,A narrow Squeak and other animal stories,"King-Smith, Dick"
809,The house at Pooh Corner,"Milne, A. A."
810,In Natalie's Garden,"Mayne, William"
811,The Butterfly Lion,"Morpurgo, Michael"
812,The Worst Witch,"Murphy, Jill"
813,The Worst Witch All at Sea,"Murphy, Jill"
814,The Worst Witch Strikes Again,"Murphy, Jill"
815,A bad spell for the worst Witch,"Murphy, Jill"
816,Me and My Mates,"Macfarlane, Aidan; mcPherson, Ann"
817,We like to help,"Murray, William"
818,Jump from the sky,"Murray, William"
819,Sunny days,"Murray, William"
820,The Railway Children,"Nesbit, Edith"
821,Drogas mentales. El desafío de la química a la psicoterapia,"Battista, O. A. "
822,Usted puede sanar su vida,"Hay, Louise L."
823,Así son las drogas,"Leigh, Vanora"
824,Yoga en 10 lecciones,"Roumanes, Jean-Pierre"
825,El poder de los alimentos que curan,"Ryman, Danièle"
826,La homeopatía,"Ullman, Dana"
827,Salud total en 8 semanas,"Weil, Andrew"
828,Until I find you,"Irving, John"
829,Dawson's Creek. Shifting Into Overdrive,"Anders, C. J. "
830,Dawson's Creek. Too Hot to Handle,"Anders, C. J. "
831,Dawson's Creek. Double exposure,"Anders, C. J. "
832,Dawson's Creek. Don't Scream,"Anders, C. J. "
833,Dawson's Creek. Trouble in Paradise,"Anders, C. J. "
834,Dawson's Creek. Long Hot Summer,"Rodriguez, K. S. "
835,Dawson's Creek. Major Meltdown,"Rodriguez, K. S. "
836,Dawson's Creek. The Beginning of Everything Else,"Baker, Jennifer; Williamson, Kevin"
837,Notting Hill,"Curtis, Richard"
838,Two for Joy,"Scanlan, Patricia"
839,Rocky Romance,"Wyeth, Sharon Dennis"
840,Sugar and Spice,"Wright, Mary"
841,How to Train your Parenys,"Johnson, Pete"
842,The Woman Who Disappeared,"Prowse, Philip"
843,Funhouse,"Hoh, Diane"
844,Alfred Hitchcock and The Three Investigators in The Secret of The Haunted Mirror,"Carey, M. V. "
845,…and Freedom (Sugar Secrets),"Sparke, Mel"
846,Nancy Drew. Runaway Bride,"Keene, Carolyn"
847,The Whizzkid's Handbook 3,"Eldin, Peter"
848,Batman,"Gardner, Craig Shaw"
849,The Truth About Ryan. Sweet Valley University (Francine Pascal),"John, Laurie"
850,The Boys of Summer. Sweet Valley University (Francine Pascal),"John, Laurie"
851,Sweet Valley Twin Collection 2: If Looks Could Kill/ The Boyfriend Game/ The Boyfriend Mess,"Suzanne, Jamie"
852,Closing,"Fairbairns, Zoë"
853,The Queen of Spades and Other Stories,"Pushkin, Alexander"
854,Hold the Dream,"Bradford, Barbara Taylor"
855,The Window,"Ellis, Carol"
856,Pony in the Porch,"Daniels, Lucy"
857,Wide Range Readers Green Book 5,"Schonell, Fred J.; Flowerdew, Phyllis"
858,Starlight City,"Welford, Sue"
859,Chocolat,"Harris, Joanne"
860,The Pearl,"Steinbeck, John"
861,Moon Island,"Thomas, Rosie"
862,The Siege,"Dunmore, Helen"
863,Les belles images,"Beauvoir, Simone de"
864,Le deuxième sexe I y II,"Beauvoir, Simone de"
865,Tanguy,"Castillo, Michel del"
866,L'Étranger,"Camus, Albert"
867,Noces/L'été,"Camus, Albert"
868,Les aventures de Flosco,"Bourliaguet, Léonce"
869,The Lady from the Sea and other Celtic Stories,"West, Michael; Miller, Margaret J."
870,Pokémon. Return of the Squirtle Squad,"West, Tracey"
871,An Inspector Calls,"Priestley, J. B."
872,Dinosaur Pox,"Strong, Jeremy"
873,Goosebumps. How to kill a monster,"Stine, R. L."
874,Seven,"Bruno, Anthony"
875,The Secret of the Sword,"Daly, Audrey"
876,The Prince and the Pauper,"Twain, Mark"
877,The Invisible Man (simplified edition),"Wells, H. G."
878,The Masked Prisoner,"Furneaux, Rupert"
879,Tom-Tom et Nana: Ça va chauffer!,"Cohen, Jacqueline; Reberg, Evelyne"
880,Les petites Crapules,"Garth, Tony"
881,Une vague d'amour sur un lac d'amitié,"Desplechin, Marie"
882,Le dernier dragon,"Bory, Jean-François"
883,Engines. Progress and Power,"Rogers, Don E."
884,Jack Russell Jackson,"Muir, Helen"
885,Project Omega,"O'Reilly, Elaine"
886,Pokémon. Journey to the Orange Islands,"West, Tracey"
887,Pabluras,"Fernández de Velasco, Miguel Martín"
888,Manual del padre,"Breinholst, Willy"
889,l'insolence de sa beauté,"Des Cras, Guy"
890,Around the World in Eighty Days,"Faraday, Joyce"
891,The Tiger,"Justice, jennifer; Graham, Allen"
892,Poulette Douillette,"Clément, Claude; Desmoinaux, Christel"
893,La fugue,"Pommaux, Yvan"
894,les Cinq et le rubis d'Akbar,"Voilier, Claude"
